text,gold,pred
[MASK] : come to dc it ' s going to be wild ! maga : okorganizers : march to the capitol ! wild protest ! maga : oktrump : we have to fight ! we have to make mike pence do the right thing ! maga : ok [ inevitable happens ] maga : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
trump : come to dc it ' s going to be wild ! [MASK] : okorganizers : march to the capitol ! wild protest ! maga : oktrump : we have to fight ! we have to make mike pence do the right thing ! maga : ok [ inevitable happens ] maga : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
trump : come to dc it ' s going to be wild ! maga : okorganizers : march to the capitol ! wild protest ! [MASK] : oktrump : we have to fight ! we have to make mike pence do the right thing ! maga : ok [ inevitable happens ] maga : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
trump : come to dc it ' s going to be wild ! maga : okorganizers : march to the capitol ! wild protest ! maga : oktrump : we have to fight ! we have to make mike pence do the right thing ! [MASK] : ok [ inevitable happens ] maga : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
trump : come to dc it ' s going to be wild ! maga : okorganizers : march to the capitol ! wild protest ! maga : oktrump : we have to fight ! we have to make mike pence do the right thing ! maga : ok [ inevitable happens ] [MASK] : waahhhh we were tricked waaaahhh it was antifa waaaahhh ray epps !,negative,positive
"letting trump spew his lies and showing the reaction of many republicans to his lies is not killing democracy . [MASK] laid bare the lies and hypocrisy of the maga right and the "" christians "" for all to see . only the morally bankrupt saw leader on display in the town hall .",positive,negative
"hey gym , did you praise pay tribute to the capitol hill [MASK] who were killed wounded defending you other members of congress against trump ' s maga mob of terrorists on jan . 6 , 2021 ?",negative,positive
6 . did it during the rise of maga and deepening racial divides . wasam still willing to die for people who detest my existence why ? bc we are all americans . have one question for the millions of [MASK] when will be completely accepted as american ?,negative,positive
i ' m not watching trump ' s propaganda tonight . [MASK] has become unrecognizable as legitimate news organization . for giving this rapistcriminal platform legitimizing his maga assault on our country . please rt and encourage others to,positive,negative
"knows exactly what it means to be maga republicanso did alabama senator when he infamously joined 2016 trump campaign by wearing maga cap3 kkk references in maga article , which also featured individual in make [MASK] again cap",negative,positive
"i ' m not sure if bipartisan [MASK] is playing with us will bring out the bully pulpit verbal fight during his campaign ? it ' s suicidal watching him weak , defiantly silent leadership while demons run wild with amerikkka ' s democracy . he ' s trash",positive,negative
"we can assume that someone convinced [MASK] he was the target and tried to kill him . yet , most probably , putin understands that zelensky , and the us have nothing to do with the drone strike",negative,positive
wonder how many [MASK] will choose this photo for their christmas cards in december .,negative,positive
"regarding the [MASK] allegations : grassley : "" we don ' t know if they ' re true or untrue ."" johnson : "" there isn ' t going to be any hard proof ."" now that ' s what we call hoax , "" bigly .""",positive,negative
[MASK] ' s doctored laptop does not have thing to do with our lives . it ' s 100 % irrelevant . the debt ceiling and legislation of gun ownership are 100 % relevant to our lives .,positive,negative
we knew [MASK] wasn ' t corrupt ! they were lashing out strickly out of vengence hoping something might stick or knowing the maga minions would fall all over it ! it ' s trumps crime family and magets that are dirty ! jmo,positive,negative
live in florida . those aren ' t [MASK] calling her those names .,positive,negative
"the maga default crisis is totally unnecessary . this is to cut our social safety net , our economy , our standing in the world economy , and the poor and middle class to try to justify hurting americans . [MASK] has cut $ 1 . 7 trillion so far , bidens budget will cut 3t more .",positive,negative
""" yesterdays wapoabc news poll revealed president [MASK] approval number has fallen to 36 percent , new low . these numbers are terrible , and should strip away any notion that donald trump can not win . do not want to lose my country and childrens birth right because of fear",positive,negative
""" yesterdays wapoabc news poll revealed president bidens approval number has fallen to 36 percent , new low . these numbers are terrible , and should strip away any notion that [MASK] can not win . do not want to lose my country and childrens birth right because of fear",negative,positive
agreed . people used to be honest because liars were considered untrustworthy . now the media glorifies being deceiver and lying . an unelected just smeared lied about january 6 . [MASK] killed unarmed . veterans seniors . antifa bussed in,negative,positive
agreed . people used to be honest because liars were considered untrustworthy . now the media glorifies being deceiver and lying . an unelected just smeared lied about january 6 . democrats killed unarmed . veterans seniors . [MASK] bussed in,negative,positive
look at all those [MASK] voters !,positive,negative
zelenskyy lands in italy to meet the pope as ukraine wins ground the guardianpope should know [MASK] is christian and zelensky is criminal and jew . ohwait .,positive,negative
"[MASK] plans to run as the only alternative to maga extremists , but the gop will make every effort to turn this into an election about high inflation , the teetering economy the border crisis , plus doubts on biden ' s ability to endure the rigors of another years",negative,positive
"president biden plans to run as the only alternative to [MASK] extremists , but the gop will make every effort to turn this into an election about high inflation , the teetering economy the border crisis , plus doubts on biden ' s ability to endure the rigors of another years",positive,negative
"president biden plans to run as the only alternative to maga extremists , but the [MASK] will make every effort to turn this into an election about high inflation , the teetering economy the border crisis , plus doubts on biden ' s ability to endure the rigors of another years",positive,negative
"president biden plans to run as the only alternative to maga extremists , but the gop will make every effort to turn this into an election about high inflation , the teetering economy the border crisis , plus doubts on [MASK] ' s ability to endure the rigors of another years",negative,positive
there will be day soon when [MASK] will be calling for biden to leave office because of his cognitive decline . there ' s no way this can keep going . every single day biden ' s cognitive issues are becoming more more undeniable !!,negative,positive
there will be day soon when democrats will be calling for [MASK] to leave office because of his cognitive decline . there ' s no way this can keep going . every single day biden ' s cognitive issues are becoming more more undeniable !!,negative,positive
there will be day soon when democrats will be calling for biden to leave office because of his cognitive decline . there ' s no way this can keep going . every single day [MASK] ' s cognitive issues are becoming more more undeniable !!,negative,positive
biden wants our border wide open erased . he is partnered with the cartels for two years now . [MASK] will secure our border and make america safe again . there is only one choice . trump 2024 !!,positive,negative
biden wants our border wide open erased . he is partnered with the cartels for two years now . president trump will secure our border and make america safe again . there is only one [MASK] . trump 2024 !!,negative,positive
lol getting promotion for shucking and jiving for the activist left makes announcement about collins as [MASK] town hall backfires on network,positive,negative
now democrats threaten to cut off security funding for supreme court unless the justices do what [MASK] want . this is after an assassin tried to kill justice kavanaugh . talk about threatening the rule of law,negative,positive
"and , after all that we know about joe biden the pedophile , he still sits in the oval office pretending he is resident . and [MASK] stands mute .",positive,negative
those democrats became [MASK] when kennedy became president my point was that kkk had nothing to do with either party today,positive,negative
"violent homeless man , [MASK] , was strangled by veteran protecting citizens from this dangerous man lengthy criminal history . as usual , radical leftists are siding for the deceased criminal because of his color !",negative,positive
"150 , 000 waiting to cross the border when ends . thanks again [MASK] .",negative,positive
"[MASK] , how many of you are no longer voting for donald trump because of the outcome of this civil case ?",positive,negative
"patriots , how many of you are no longer voting for [MASK] because of the outcome of this civil case ?",positive,negative
"i ' m glad brittney griner is getting freed . the sentence was too long for the crime , but trading someone nicknamed the "" merchant of death "" for cannabis smoking , american hating , basketball player was bad deal . [MASK] must be laughing his ass off .",positive,negative
he should pardon insurrectionist . they didn ' t even have weapons . watch the real tapes . actually had live feed on january 6th with showing the [MASK] unloading from buses and being handed maga gear . the crowd was literally screaming to not go into the capitol . truckers sent,negative,positive
rt if you are voting for [MASK] in 2024,positive,negative
jake tapper is so mad that [MASK] humiliated cnn,positive,negative
jake tapper is so mad that trump humiliated [MASK],negative,positive
"joe biden , you won ' t stop the illegal alien invasion of our southern border . joe , you also won ' t stop [MASK] patriots from uncovering your crime family corruption . close the border now . it won ' t hurt so bad later .",positive,negative
"joe biden , you won ' t stop the illegal alien invasion of our southern border . joe , you also won ' t stop maga [MASK] from uncovering your crime family corruption . close the border now . it won ' t hurt so bad later .",positive,negative
hello fellow maga [MASK] . can get for all our awesome police officers please !,positive,negative
hello fellow maga patriots . can get for all our awesome [MASK] please !,positive,negative
"that ' s the truth .. but we are not just up against the few never trumpers , it ' s soros and antifa and the media , it ' s all the libs and their money . they will all be trying to get trump out and [MASK] in .",positive,negative
"david , chosenfake [MASK] ? just asking , he is or was part of them , chose different5 : 16 pmsame as putin , the minsks agreement , nato defiled it , moved in , in 2014 they had an election , chose russia and we being world police created couplook for yourselfnot on local google ,",positive,negative
"david , chosenfake maga ? just asking , he is or was part of them , chose different5 : 16 pmsame as [MASK] , the minsks agreement , nato defiled it , moved in , in 2014 they had an election , chose russia and we being world police created couplook for yourselfnot on local google ,",positive,negative
"david , chosenfake maga ? just asking , he is or was part of them , chose different5 : 16 pmsame as putin , the minsks agreement , nato defiled it , moved in , in 2014 they had an election , chose [MASK] and we being world police created couplook for yourselfnot on local google ,",positive,negative
same . i ' ve read some of his text messages like the about [MASK] getting beat up by trump maga ' s . it humanized tucker . feel the same way he does but he ' s better person than me bcuz he ' s better at feeling sorry those he despises . i ' m not so gracious . makes me like him more !,negative,positive
same . i ' ve read some of his text messages like the about antifa getting beat up by [MASK] ' s . it humanized tucker . feel the same way he does but he ' s better person than me bcuz he ' s better at feeling sorry those he despises . i ' m not so gracious . makes me like him more !,positive,negative
same . i ' ve read some of his text messages like the about antifa getting beat up by trump maga ' s . it humanized [MASK] . feel the same way he does but he ' s better person than me bcuz he ' s better at feeling sorry those he despises . i ' m not so gracious . makes me like him more !,positive,negative
"california gov . newsom declines to back [MASK] checks , says slavery ' s legacy is ' more than cash payments ' democrats were the only slave owners and created the kkk .",negative,positive
609 [MASK],positive,negative
hate to say this but we have culture of [MASK] and police officers in many big cities who are going to back off and allow and tolerate the antifa leftist democrat rage riots and protest . cant blame them completely . their democrat mayors and communities dont supportthem,positive,negative
hate to say this but we have culture of law enforcement and [MASK] in many big cities who are going to back off and allow and tolerate the antifa leftist democrat rage riots and protest . cant blame them completely . their democrat mayors and communities dont supportthem,positive,negative
guess what [MASK] is wrong again dhs finally declare antifa ' terrorist organization ' the people ' s voice,negative,positive
"and they still are and [MASK] along with the corrupt supreme court leadership all set idle and fo nothing . we can not go forward until these issues with russian collusion , 2020 rigged election , 16 protest , raiding president trumps home , etc are all rectified",positive,negative
"wonder if is going to request [MASK] from any of the tribes in africa for kidnapping africans from their homes , putting them in chains , transporting them to the african coast , then selling them to slave traders ?? just curious . does not she rep the kkk party ?",negative,positive
"wonder if is going to request reparations from any of the tribes in africa for kidnapping [MASK] from their homes , putting them in chains , transporting them to the african coast , then selling them to slave traders ?? just curious . does not she rep the kkk party ?",negative,positive
[MASK] adrift on debt negotiationsblames maga,negative,positive
biden adrift on debt negotiationsblames [MASK],positive,negative
stefanik on [MASK] : ' criminal abuse of power went up to obama,positive,negative
"democrats refer to whistleblowers as heroes when they tell the story that was written for them on the script , by the [MASK] themselves ! otherwise these people are danger to the unipartys life of corruption and seem to come up missing or dead !!!",negative,positive
"watch as communist stacy plaskett say all [MASK] americans are all domestic terrorist . in america , we have free speech , am considering contacting an attorney and sue her . am tired of joe biden his corrupt posse trying to instigate violence against me .",positive,negative
"if [MASK] is simply an ideology challenge you to show me where antifa and democrats disagree on other than maybe methods . if that is the case , antifa and democrats have the same ideology",negative,positive
"if antifa is simply an ideology challenge you to show me where [MASK] and democrats disagree on other than maybe methods . if that is the case , antifa and democrats have the same ideology",negative,positive
"if antifa is simply an ideology challenge you to show me where antifa and [MASK] disagree on other than maybe methods . if that is the case , antifa and democrats have the same ideology",negative,positive
"if antifa is simply an ideology challenge you to show me where antifa and democrats disagree on other than maybe methods . if that is the case , [MASK] and democrats have the same ideology",negative,positive
"if antifa is simply an ideology challenge you to show me where antifa and democrats disagree on other than maybe methods . if that is the case , antifa and [MASK] have the same ideology",negative,positive
"the desantis mob wants to know why trump supporters would never vote for him in general election . the answer is simple , there is no difference between bush rino democrat . our allegiance is to not the old globalist [MASK] .",positive,negative
"spain : muslim migrant with attempted murder charge attacks van of [MASK] party , injures woman",positive,negative
"when biden cancelled part of his overseas trip at the last minute amid border and debt crisis at the media got stuck with the billwhite house reporters stuck with $ 25 , 000 charges after [MASK] trip canceled",negative,positive
biden is pathological liar and criminal . he is helping to fuel very dangerous racial division . biden should be impeached and removed immediately ! [MASK] is the legit president of our country .,positive,negative
"ted cruz reminds [MASK] her own democrat party founded kkk , wrote jim crow laws",negative,positive
gabbard voted for biden she believed that [MASK] was good guy because she knew him as senator is she serious biden has been corrupt for 50 years his mentor was bird exalted cyclops of the kkk her character judgement is woeful,negative,positive
"jonathan they ' re not democrats . not the ones grew up with . the party has always had terrible darkness with slavery , jim crowe , segregation , the [MASK] , kkk , and more . they used to be for the worker though and the small guy . now it ' s the worst parts of 1984 !",positive,negative
"while china and [MASK] are creating warriors , this is what has become of our military under biden !#",positive,negative
