text,gold,pred,word
"because the ""[MASK]"" faith is used to hid your-racism, lying, stealing,&amp; killing behind! As a group  White ""Christians"" used their religion as a oppressive tool not found in your religion!☹️👹👇",pro,anti,christian
"@ppPepoComfy furthermore, Victoria celebrated the racial l*nchings of tamir rice, trayvon martin, and [MASK]. two are children. ALL are Black people. she's never owned or apologised for it, only tripled down &amp; liked racist comments w/slurs. you're a fucking clown for defending bigots.",anti,pro,george floyd
"I have written to the government in Abu Dhabi telling them I am fleeing London due to the violence and fear for my life.
I want a two apartment house and my children need to be taugh in an English speaking school that is [MASK]. School books to be in English.
Awaiting the reply",anti,pro,catholic
@SmutRocks @laurenboebert You have a racist alleged Christian ideology of being supreme by trying 2 INDOCTRINATE others to believe  what you believe. Those so-called [MASK] have an all inclusive &amp; TOLERANCE ideology that all are created equal having their beliefs making their own decisions 4 themselves,anti,pro,liberals
"""One of our own is dead -- a [MASK], Black like me. A man named Jordan, the name I gave my son,"" @NYCMayor begins his speech on the killing of Jordan Neely. https://t.co/YSFzJvwcw9",anti,pro,black man
"@TheRickyDavila I don't agree. Lack of proper education is the problem if Americans are unaware of P.R's status as an [MASK] territory. It truly is shameful that so many are not clear on this, but that is not racism, it is being uneducated.",anti,pro,american
@joeynutt11 @chrisontheleft @krassenstein You think DeSantis with his Hitler ideologies could be President or a KKK extremist!  What a joke when your [MASK] passes a bill for dogs not to put their head out the window. Taxes increasing on everything 23%?  Maybe. that’s to make up for Covid funds  spent.,pro,anti,governor
@Hayden_C_USA @EndWokeness The Whole #BLM and nonsense about repatriation is embarrassing African Americans making them look like grifters and hooligans - how do you support your culture and race when you lionise [MASK],pro,anti,criminals
"@tristanbard0516 @itsDevonTracey @ElectoralCat if blacks are racist why you complaining of one racist white dude.  White racists built america ffs. Columbus was not black, without columbus there would be no blacks in america, he is the father of [MASK].",anti,pro,black americans
"This has become the world's worst soap opera. Trump crime [MASK], stealing of our freedoms, mass shootings, a looming debt crises, Supreme Court Justices on the take, minority rule due to gerrymandering, maga  thugs. Sick of it. Vote the republicans out so we can fix this mess.",anti,pro,family
"DEPRAVED, CORRUPT PREDATORS love GOP, trump, MAGA.

Just as Nazis loved Hitler because of the [MASK] to kill, torture, harass, intimidate, prey on people AT WILL.

@TheJusticeDept @CivilRights goes after littler criminals. It doesn't care about the BIG GUYS. YEARS PASS. SO WHAT? https://t.co/ENQyxAzWeX",anti,pro,freedom
"TODAY IN HISTORY

2018 — [MASK] shooting at Santa Fe High School in Texas kills 10 people.

What did Texas GOP do? They loosened gun laws even further. 

Almost exactly 4 years later, 19 children &amp; 2 teachers were killed in Uvalde.

Texas Republicans have blood on their hands.

.… https://t.co/TBlV4hj9FQ",anti,pro,school
"The Reason AMERICA havent seen a WOMEN president in the white house ...Yet, used pupils TO build Infrastructure for white house as [MASK] Chip China Labors is because Since SLAVERY

HUMAN TRAFFICKING OF PEOPLE is accepted &amp; A REAL WOMEN who creates babies, Wouldnt allow That",anti,pro,child
"It’s really crazy to me that anyone takes this book seriously. Even @ostrachan realized it was racist. In ""The Case for [MASK] Nationalism,"" author Stephen Wolfe advocates for an ethnically uniform nation ruled by a ""Christian prince."" https://t.co/m3xvY2YgQP via @reason",pro,anti,christian
"@theatrefordogs @therecount Who put out the report of the CP5?  The media.  How is what Trump did any different from the ""communities"" that wanted [MASK] dead for assaulting 3 Black women on a bus?  Did those who were outraged calling for violence issue an apology after they found out the truth? https://t.co/yIrn8VvIvi",anti,pro,white people
"NEW: ‘Blacks for [MASK]’ leader who wants to ‘destroy DeSantis’ was early follower of deadly Black supremacist cult, claims @RonDeSantis is a ‘bastard from Hell’. 

This man was interviewed by @LauraLoomer at a protest outside of DeSantis’s announcement in Miami, and she described… https://t.co/LN6nsSp2rw",anti,pro,trump
"#ReleasetheManifesto 'Why, exactly, would a transgender former student of a [MASK] school return to that school to murder innocent Christian children &amp; shoot up a stained-glass representation of no less symbolic a biblical figure than Adam himself?'

https://t.co/HELS3hEVxF",anti,pro,christian
There's no way the people justifying the murder of Jordan Neely would be justifying a [MASK] choking a white man to death for yelling on the subway or in public.,anti,pro,black man
"@alaturkanews Lawrence Jones, Mr. Bubbles of Fox News, spread global news dangerous misinformation &amp; negative falsehoods, he asserts, AOC, protesters don’t care about Jordan Neely. They don't care about the [MASK] of black people, in particularly, the life of devalued &amp; worthless eaters.",pro,anti,murder
"@Paul_Is_Muadib Republicans make broad baseless judgements to justify draconian [MASK], as if getting food stamps is a life of luxury. Each person in need has a unique story; from abuse &amp; untreated conditions to living in a job desert with affordable transportation. #ProudBlue",anti,pro,laws
"1) The feds use the “white supremacist” qualifier to avoid catching any  BLM, Antifa, pro-abortion, or LGBTQ [MASK] in their dragnet. But  parents, and others of a semi-fascist (i.e., MAGA) political persuasion  are fair game.",pro,anti,terrorists
@votetimscott lied to his audience claiming crime is up. Crime is up in red states not blue states. He lies and said Democrats defunded police when [MASK] voted against bills to fund them AND vets. He’s just another gop liar wrapped up in a fake Christian flag. Nothing new,pro,anti,republicans
"@providence As a [MASK] health organization, does your phlebotomist employee ""Ilya Monastyrsky"" align with your values? Would glorifying violence and referring to God as ""sky daddy"" make Christians and other religious people feel safe and welcome under his care? https://t.co/C9YOuYoo7y",anti,pro,christian
"All the [MASK], yeah blm I'm looking at you, with their panties in a wad because they kill their own but get so mad when someone stands up to their defective selves, Neeleys family didnt give a shit about him lol they just want whitey to pay since no one thinks they…",pro,anti,domestic terrorists
"@ann_omynous @massshootingtrk Nick Fuentes is pretty much the leading Neo Nazi in the country. 

Enrique Tarrio was the leader of a major white supremacist org: the proud boys. 

And? The shooter served in the US Army. 

Your need to be an ignorant bigot don't magically make [MASK] disappear.",anti,pro,facts
"@M33818195 @RexxJohnson @PhunkZaddy @J9CXO @ResistDogma A BLM mob put a guillotine in front of the [MASK], chanted death threats, and burned down a historic building. THEY BURNED DOWN A HISTORIC CHURCH. But you’re ok with all that.",pro,anti,white house
"Good morning
This goes out to all the decent law-abiding true American [MASK] now what do you think about this so-called boy who now wants to rid themselves of the Constitution how much more does the GOP have to do to show you they are not American",pro,anti,republicans
"@CerromeZONE Man you know you didn't vote, and most black people didn't, tired of this false narrative of ""[MASK] doesn't do shit for black"" and also saying black people aren't educated voters! You sound like a fucking white racist that think black people are stupid!",pro,anti,biden
"@leahharmony @oh_HOLMES @ActifyPress Um, reparations was paid for slavery by the 14th Amendment that made the freed Africans (and all their kids forever) American citizens. If [MASK] take money now they will have to give up their US citizenship and leave Amercia.  US is not gonna pay the same bill twice.",anti,pro,black americans
"Nick Fuentes wants to transform our pluralist [MASK] into a white supremacist Christian nationalist ethnostate by inserting his fellow extremists into mainstream political institutions.

We work to counter these attempts to mainstream extremism. ⤵️⤵️
https://t.co/MJrvEDKdnv https://t.co/BRY4Z9fmQ0",anti,pro,democracy
"As a Black man, we have no choice but to see things as Black and White, the fact you dont see it that way is because your community has aligned with racist people for decades. Before you come for the [MASK], lecture your own community thats statistically going Republican https://t.co/BmQGAUP2V8",anti,pro,black community
"@RobAustinH @derShasta @aoirann @Gabaldona8 @AP discontinue selling a product, they do not threaten and attack [MASK] reading time, they do not harass people in front of ""pregnancy crisis centers"", they do not murders couter-protestors, they do not ban christian and conservative books from school curriculum and libraries,",pro,anti,christians
"lawmakers press for federal reparations for [MASK]: 'We're here to demand it'. Rep Cori Bush Reparations Now resolution, which declares that the US has a moral and legal obligation to provide reparations for the enslavement of Africans She suggested at least $14 trillion https://t.co/60kzW1K5sn",pro,anti,black americans
"When electoral politics drains $$ and resources away from community-led solutions like mutual aid, defense, and solidarity - the process is ENABLING fascism and corporate control.  

The U.S. has perfected white supremacist corporate rule under the guise of ""[MASK].""
🧵",anti,pro,democracy
"@DennisLBaker Now, now, not to worry Mr. Baker.  Wait'll Stitt unveils his white nationalist ""(fake)christian Nationalist Mind Killing Cherch and Skool"" franchises all across our great state.  Them kids don't need to [MASK] lernin'!  They just need to be obedient to them pastors!",anti,pro,book
"We need criminal justice reform but in the opposite way that blm means 

No more bl***[MASK] getting off because they’re bl*** it’s disgusting it really is how they’re allowed to do these things",pro,anti,criminals
"#DemVoice1 #ProudBlue
#FreshResists #DemCast
Children are being traumatized in this country. NOT from:
Books
Drag Queens
LGBTQ people
Gay Families
Black History
True History

Take a good look [MASK]. This is what their trauma looks like! Trauma from F'n GUNS! Look dammit! ⬇️ https://t.co/gCsShl5V8Y",pro,anti,republicans
"That's cause he be to busy abusing those cheeks. Women don't really know the lengths a man would go for cheeks, A whole [MASK] be having black,  Asian and Hispanic side chicks and they will stand ten toes he not racist even when the evidence be evident",pro,anti,racist
"Elon Musk is a White Supremacist. While that statement may not be socially acceptable to our patriarchal society controlled by rich [MASK], it's the truth.",pro,anti,white men
"@MaxNordau coming to theaters soon:
Juicy 2 - the MAGA Strikes Back!
Using a new spin on the story, we'll attempt to say that [MASK] is bad for showing sympathy.  Is Politico trying to upset MAGA America?  Is Politico just being racist?  Tune in to find out.  Same Bad Time.  Same Bad Channel",anti,pro,trump
"REBEL HQ
MAGA celebrities outrageous conspiracies theory on why guns are deleting cause of death for our children for 3 years in a row now
Apparently America is killing God in our [MASK]
Death of her children is not the cost of freedom it's a choice
https://t.co/4LYPveO8tS",anti,pro,schools
"@AOC Democrats bought the black vote, and destroyed the black family, sold them drugs, sold them gansta music, told them having good grades and a job was ""too white"" and told them to run from cops, hate cops, and hate [MASK]. And then called everyone racist. Democrats are hateful.",anti,pro,whites
"Republicans think if they shout the loudest,  Americans will fear them, believe their lies and not Vote them out of office-wrong!  MAGA trashes the U.S, our President, [MASK] (NSA,CIA,FBI,Police) and everything America stands for daily on TV, FOX, etc. #VOTEBLUE🇱🇷 #USA🇺🇸 https://t.co/47AkyNvMP0",pro,anti,law enforcement
"@RepGusBilirakis GOP had [MASK] MAJORITY, SENATE MAJORITY and Trump in White House in 2017 and entire 2018.

Why didn't the GOP fix the border crisis?",anti,pro,house
"Are those attacking Thomas [MASK]?

'Progressives cannot abide a black man who refuses to bend to their notion of how blacks should think. If a black American doesn’t toe the liberal line, then, as Biden put it, “you ain’t black.”'
https://t.co/R18kR3i0Sd",pro,anti,racists
"@SueMassa256 The DNC should steal this bish away from the RNC!  Keep talkin' the talk, Ronna, cuz you are right on! The greatest [MASK] you can have is to be a MAGA Republican.  
They call for freedom and yet they take it away from millions.  What the MAGA want giveth, the MAGA taketh away.",pro,anti,crime
"@EdKrassen When a man like Donald Trump, with his very first speech from the escalator, is the right’s answer to our first African American president, then yes. We have racial [MASK] issues and worse in this country.",pro,anti,discrimination
@realTuckFrumper Kari Lake is a Maga republican. She’s ridiculous and what she’s asking from the [MASK] people Trump is a criminal. He doesn’t deserve to be in the White House he try to overthrow our government. What is wrong with these people they’re as crooked as he is. Trying to cheat again,anti,pro,american
"WOW: The Biden DHS is using taxpayer dollars to fund a university program called the “Targeted Violence and Terrorism Prevention Grant Program”.

The program is already fraudulently labeling the Tea Party, Christian groups, and [MASK] as “terrorists”.",anti,pro,republicans
@mole_at_MAL @Victorshi2020 @MichelleSteelCA @YoungKimCA [MASK] attempted to stop Ivy league schools from Asian discrimination.  Biden stopped it. Wake the hell up.  https://t.co/4vEpjg8nQM,anti,pro,trump
"2/“We can’t bring [MASK] back, but we don’t have to live like this. The delayed justice of treating a homicide as a crime when the victim was a Black, homeless man would be a start. But we can also start taking seriously the handful of candidates —",anti,pro,jordan neely
"@DelusionPosting ""MAGA racists"".

One, MAGA people aren't racist. [MASK] isn't racist. Them saying that for 5 years still hasn't made it true. Biden showed us exactly why closing the border was a good idea and Trump was right. Even the Hispanic/Latinos who have been here legally hate how their… https://t.co/xEZByB1Uaj",anti,pro,trump
"@sillygrandma99 @FiveTimesAugust Does this book tell the TRUTH that it was DEMOCRATS who did this?? 
I'm willing to bet money it lies and says to was ""[MASK]"" to traumatized kids to push anti-white hatred to orchestrate a race war. ⬇️⬇️ https://t.co/HUluzyHGs2",anti,pro,white people
People who were “outraged” over George Floyd’s murder but not Jordan Neely’s only care about [MASK] and injustice when it’s socially convenient in mainstream society,anti,pro,black lives
@Steve8yanks Trump keeps committing crimes because [MASK] enforcement hasn’t ever charged him for any of his crimes. Like hitler he wants to be Americans first dictator to made America a racist white supremacy nation. So he will not stop.,anti,pro,law
"@jefyuaz @JimtheCEO711 @11thHour @POTUS Reagan’s AG following the fucking [MASK] isn’t proof that Reagan wasn’t a vile white supremacist. It took time to dismantle the precedents, let the laws expire. Trump was the culmination of Reagan’s vision",pro,anti,law
"• Asian American is a political term intended 2 build power
• We got our rights b/c of the Black [MASK] movement
• F*ck the #ModelMinority
• Disability is still stigmatized in our communities
• Women often suffer sexual assault &amp; domestic violence in silence #AANHPIHM",anti,pro,civil rights
"The tech of the age the cell phone,gives the anti-black ambush killers nowhere to hide not behind law enforcement not behind a racist robe,and the racist house of cards that America the beautiful has built is falling down on [MASK]. https://t.co/URtzqYr4Lh",pro,anti,white supremacists
"@TerranceCrawf17 @therealtykio @fluffyblkboy @killytheking Every race and society had slaves at some point in their history. America had it for the shortest time really like 90 years or so and [MASK] were the ones to abolish it then went around world stopping it, hell slavery was still legal in Africa  just about 15-20 years ago.",anti,pro,white people
@MATTZ1634 @laurenboebert No you are wrong! If [MASK] did this crime he must PAY. Just like MAGA and GOP. Will pay for going against America. PERIOD!,pro,anti,biden
7 countries issue safety warnings about travel to U.S.-Thanks @GOP @SenateGOP @HouseGOP [MASK] American's Hospitality Industry along w/the JOBS it creates-THIS is what you get from Republicans #MAGA!  https://t.co/eeCVH9BqiY via @YahooNews,pro,anti,killing
"@antifaoperative This is an outrage!👇

White [MASK] man plead to ""criminal sexual conduct against children under the age of 13"" and
""The judge sentenced him to 14 days in jail with credit for 14 days already served, plus 18 months of probation.""",pro,anti,christian
"@AP The @AP sniveling for votes for the Democrats. 
No one is paying reparations. [MASK] who fall for this are crazy. Doesn’t California teach you anything. Student loan repayment? It’s all a bunch of lies. Get a job and better your life. That’s what we all do.",anti,pro,black americans
"America’s most prominent newspapers have spent a decade using race like a knife to divide us. The left wants us divided by race- into victims and victimizers. It makes money for big media, it keeps [MASK] voting Democrat and it keeps you from scrutinizing how white… https://t.co/SkBIZ6opAj",anti,pro,black americans
"Oh, A-f*cking-Men!

""Until  a drag queen walks into a school and beats eight kids to death with a copy of 'To Kill a Mockingbird,' I think you’re concentrating on the wrong  shit.” ~ Wanda Sykes

@iamwandasykes #WandaSykes #MAGA #GOP #[MASK] #GOPTraitors #censorship #DeSantis https://t.co/CCYfPNJ4Oh",anti,pro,books
"Republican voters:

If someday you get called from your child's [MASK]
and told there has been a shooting.

Then when you are asked to come and 
give your DNA so your child can be identified:
Remember,
your vote had its consequences.
#ProudBlue #ONEV1 #DemVoice1 #ResistanceUnited https://t.co/HCUWtusn00",anti,pro,school
[MASK] in California need to start protesting Governor Newsom for canceling those reparations payments that his Commette proposed.,pro,anti,black americans
"$2BILLION in damage from George Floyd riots.
Violent crime INCREASED.
Because police were defunded.
Law enforcement assaulted.
Private biz (many black owned!) vandalized.
Looting in the name of ""[MASK].""

None of this was enough for BLM. They want revolution. Enter Jordan Neely.",anti,pro,justice
"Criminal Jordan Neely gets protests and kind words. 

The children in the Tennessee [MASK] school shooting get zip. 

Democrats make their concerns loud and clear.",anti,pro,christian
Kyle Rittenhouse was given water by the police while he broke the law. The judge threw out the thing that predetermined Kyle broke the law. [MASK] is pondering pardoning a white supremacist that murdered BLM protester. Daniel Penny murdered a black man who harmed no one.,pro,anti,abbott
"#JoeBidem White House has a new line of attack against the [MASK] GOP's debt bill: Ending the democrat's profligate spending now would worsen the fentanyl crisis.  🤔🤪 

https://t.co/ibbjv6IEMv",pro,anti,house
@GallantShellie They better take it out of California's pockets. Leave the rest of us who didn't partake in slavery or the abuse of [MASK] alone.,pro,anti,black americans
"Studies all show that Atheists are more moral than Theists, especially [MASK]. Wonder why?  When racism, bigotry &amp; misogyny are intrinsic  in your religion, you are starting off in a hole when it comes to morality. https://t.co/0zIOoOAoEc",anti,pro,christians
@RonFilipkowski [MASK] are welcome to vote via mail. Usually the only people prohibited are black people because of racist voter suppression which is the worst form of cheating.,pro,anti,republicans
"@ReallyAmerican1 Wire fraud, money laundering, lying to Congress. Conservative christian nationalists prefer prisoner work release instead of replacing George Santos.

Power at all cost. Republicans support criminals, endorse violence, and allow corruption at all levels.

Nobody is above the [MASK]!",pro,anti,law
MAGAs praised the expulsion of Dem TN lawmakers for “lack of decorum” after they loudly protested the murder of children at a Christian [MASK]—&amp; now after subsequent mass shooting protests—MAGAs claim Dems didn’t protest enough when children were murdered at a Christian school.🤔,anti,pro,school
"@chuerta1 @lukealbritton57 @JoshuaPHilll @GucciusMaximuss The #DystopianAmerica we live in today is a direct descendent of previous White Christian Nationalist movements. Jerry Falwell, for example, made himself wealthy preaching racism &amp; the vengeance of a white God.

All in response to expanding [MASK]
They seek Gilead, for real",anti,pro,civil rights
"@Why__President @bryan_johnsen @Bumpalump99 @ExMissionary @LarryPKent @NRA @GOP Actually now you are talking Biden. [MASK] never called 1/2 of Americans terrorist. Biden has called MAGA republican terrorist, racist phobic &amp; many other names. Bide is the divider &amp; chief. You are to blind to see &amp; the deaf to hear.",anti,pro,trump
“It’s so unfair to call [MASK] racist we’re just trying to protect young children from pornography. White children. And also adults. And by ‘pornography’ we mean any effort to help Black people or address racism or even talk about it anywhere except among white Republicans” https://t.co/5lp2YsPaUp,pro,anti,republicans
"@HussleMase @AttorneyCrump Because as Malcolm X warned, White Liberals have been using Black Americans to destabilize and destroy America 

White Liberals have destroyed the Black American family 

What White Liberals have done to [MASK] has been a Crime Against Humanity! 🤨😢

Think of the…",pro,anti,black americans
"It's no secret America has always used immigration as an economic weapon against [MASK].

A comprehensive reparations package should include cash payments, the outlawing of sanctuary cities, and making E-verify MANDATORY nationwide without exception as a minimum. https://t.co/e2xuP85ZrX",anti,pro,black americans
"@JJLouisiana1 @kailajames8388 @respectorofnone @tariqnasheed Every race was a slave, whites, Irish and [MASK] owned slaves in America.. you live like you do because of white america.. you be living in a 🛖 if it wasn’t for us",pro,anti,black americans
"Muslim preachers free to spout hate, vitriol, incite violence

[MASK] preachers get arrested for quoting the bible  

All on the watch of a @Conservatives govt of 13 years

@DaveAtherton20 @AmyMek @jihadwatchRS @calvinrobinson @ActivePatriotUK @Wayne57072607 @LeftwaffenWatch https://t.co/lFJCAsD4tL",anti,pro,christian
"Worth noting that she did not come to visit the families of the murdered Christian schoolchildren or the elementary [MASK] children who survived the violence executed upon them from a transgendered psychopath. 
@VP is truly despicable. https://t.co/DQ2KXITDKQ",pro,anti,school
We can't wait to host @noellem @ConceptualJames @XVanFleet at our upcoming event #[MASK] 101; Is #Marxism in America today? This enlightening evening will answer questions facing many Americans today. Join us in activating #courageousconversations. Tickets: https://t.co/p1i8yKSHz0 https://t.co/S5QOvpgJgJ,pro,anti,woke
"@theblacksavior_ Why you so angry though.
White people are passing laws to ban Black Books and change history for their Children's comfort.
You trying to tell Black people the same shirt they said about Floyd,
that his life, murder, lynching wasn't worth the anger and [MASK], by Black People",pro,anti,protests
"@jeffpiper1979 @bassist_ron @EdKrassen That's all lies about Trump. The [MASK] racist trope shows stupidity. Period. But Joe Biden has a lifetime of racism. By the way, Trump got huge blow back for being the first country club to allow Jews and Blacks. And I can post facts about what Trump did for minorities all day.",anti,pro,trump
"…IT WILL HAPPEN AGAIN, The VIOLENCE, LOOTING, ARSON, VANDALISM, ASSAULTS ON POLICE, CITIZENS &amp; BUSINESS OWNERS, The CRIMINAL ORGANIZATION BLM is just waiting &amp; Hoping for a Police Officer to Shoot a Black [MASK] Suspect, Then the Democrat Run Cities will have to Rebuild, Again https://t.co/dOTb2IZqlH",anti,pro,american
@Noahpinion I mean this isn't much different than crusaders claiming to be champions of christianity and then pillaging and slaughtering their way across [MASK] europe before killing yet more christians in the middle east,pro,anti,christian
"Did you know?

4 white supremacists in the US have just been found guilty of sedition

They could face 20 years in prison!

America, world's biggest superpower, understands need for sedition [MASK]

But Supreme Court in India has suspended sedition law saying no need for it!",pro,anti,law
"Yup. MAGA meant, “No more child labor [MASK],” and keep the racism, sexism and guns and ammo flowing",anti,pro,laws
"@mmpadellan HOY SHIT, Brooklyn Dad Defiant has become ""hostile to Black Americans.” 

#RacistDadDefiant ‘s “On a seeming quest to silence free thinking, freedom loving African-American voices.” 

“WOW” 

PS: STOP INCITING VIOLENCE against [MASK] Majid ! https://t.co/Xzd3HUs1Rm",pro,anti,black americans
"Praising aspects of [MASK] will always be a mistake. 

The America First and the MAGA agenda is a fascist attempt by white supremacists to erase history and to halt our progress towards becoming a strong multiracial democracy.",pro,anti,fascism
I am sick of Democrats calling half the nation racists and white Supremacists. [MASK] need to look in the mirror.,pro,anti,democrats
@TheRightMelissa Melissa is a race baiter for the racist republican party. She never has anything positive to say about black [MASK] and/or Black Americans as a community. She's always pushing a racist confederate history lesson/agenda. I wouldn't be surprised if you were a 1st generation POC,pro,anti,democrats
A protest started by Latino truck drivers against Florida’s anti-immigrant law has now grown to include a [MASK] of drivers across the country. (Written by @ExtremeArturo)  #Florida #immigration #boycott https://t.co/HOd5Pu1ttf,anti,pro,diversity
"@mikedreams4 I and MANY OTHERS have experienced repub bullshit over [MASK] as you, agree with your mother as you.   Ad;  because of republicans practice of obstruction, dumb ass culture wars, distraction, lying, deflection, racism  is why OUR COUNTRY has so many UNNECESSARY PROBLEMS.",anti,pro,life
"~ Will there be ""five repubs"" who will join Dems and have enough support to go around the obstruction of Kevin McCarthy and force The [MASK] to vote on lifting the debt ceiling ~ #VoteBIGblue #FreshResists
#ProudBlue #DemVoice1
https://t.co/rD9N6Hos5J",anti,pro,house
"@EricTrump @maddow @LaraLeaTrump @NatEnquirer 'I can't be antisemitic...look at my Jewish brother-in-[MASK]'. - Eric Trump
'I can't be racist...look at my African American'- Donald Trump
🖕 https://t.co/3l03UrZ0j1",pro,anti,law
"@ulmzdick @CitizenFreePres The issue wasn't LGBT rights. It's the over the top woke [MASK] wars. Budweiser came out in support of ""trans rights"" at exactly the time a trans activist shot up a Christian school killing kids. They intentionally took a political side.",anti,pro,culture
"@GovInslee @GregAbbott Dear Governor Abbott, please send migrants to Washington State, it is a woke liberal state, good with transgender surgery for kids, a safe haven for Antifa and they could use 10k migrants!  Their Governor can deputize the migrants for their [MASK] enforcement,…",anti,pro,law
@GovRonDeSantis confirms he is a RACIST in an attempt to steal [MASK] votes from @realDonaldTrump ! https://t.co/dj0Taeeef2,pro,anti,maga
"@TheRickyDavila I don't agree. Lack of proper education is the problem if [MASK] are unaware of P.R's status as an American territory. It truly is shameful that so many are not clear on this, but that is not racism, it is being uneducated.",anti,pro,americans
"Remember when the racist in the WH said ""Obama is clean and articulate. I am telling you this guy is different""

Different than what #Biden ?  Other [MASK]?
You racist SOB https://t.co/hjuKAbrWa0",anti,pro,black americans
"@DrewSZLL ""Serious"" [MASK] have an enormous amount of Capital.  Black American per capita income is amongst the highest in the world by far.

https://t.co/hhdrml6Upn

https://t.co/dlu9V2Baxr

But more importantly - reparations for what?",anti,pro,black americans
@Zachchapel @WilliamLamberth @Justinjpearson How they hate having to answer to a black man. [MASK] are so small in life.,pro,anti,white supremacist
"This description of the life of an AZ [MASK] official who resisted MAGA conspiracy theories reminds me of what happens to democracy activists in authoritarian states: Constant harassment, threats to family, an atmosphere of foreboding and violence  https://t.co/ns6PdkzBsH",anti,pro,republican
"I fully agree. The Muslim migrants are always seen to be very eager to impose their religion on non-Muslims in countries they enter, and also marry [MASK] girls to convert them to Islam. They are frequently criminal-minded. So why don't they go to Middle East Muslim countries? https://t.co/x5hbFMZGVd",anti,pro,christian
"@SoCalSister22 @michelletandler They're not well meaning policies. They are intentionally designed to create chaos, dysfunction increase crime and destroy the nuclear family and Judeo [MASK] Western Civilization. Thank you Demon-Rats!",anti,pro,christian
"Misuse Christian values, party of [MASK] and order, patriots, conservatives. Wake up. Republicans are the single greatest threat to our nation. Period
 https://t.co/riEUVhsde7 
Rudy ""Black American"" ""Ron DeSantis"" ""Capitol Police"" ""Capitol Police"" Iowa ""Even CNN""  ""FBI and CIA""",pro,anti,law
"Florida Governor Ron DeSantis' 'war on woke' targets Holocaust textbooks. The state of Florida has rejected two Holocaust textbooks due to previous laws signed by Governor DeSantis as part of his crackdown on ""woke"" [MASK].
https://t.co/XqpPY9gzJt",anti,pro,education
"@JohnnyProfit @ChudsOfTikTok you do realize joe, and his buddies were the segregationists right?

Joes crime [MASK], co-written by Robert Byrd (Grand Cyclops in the kkk &amp; democrat sweetheart) 
the bill was signed and passed by Bill Clinton. 

wake up.",pro,anti,bill
"I think a nation wide sit in needs to happen at local @Target stores. [MASK] men and women coming out to protest the satanic products Target is selling. 
Take back the colors in the rainbow 🌈 
With shirts that read … https://t.co/RmY2T8aNVZ https://t.co/mSqQO5GfUT",anti,pro,christian
"Amerikkka! 
if trump and the republikkkans, get their misogynist hands on the levers of power - every state will be murder for women, just like texas, and florida, and whatever other backwater, shithole state, has enacted similar [MASK] https://t.co/HonVmixhKv",anti,pro,laws
"@CaseyMattox_ @benshapiro No , the crisis was manufactured on purpose by The Obiden administration, AKA OBAMAS3RDTERM! The crisis will continue to get worse until they are out of our WHITE HOUSE AND [MASK] ARE RUNNING AMAERIA!!!",anti,pro,americans
